ID,PERMI,  PERMIT_TYPE
1601912,100066672,PERMIT - NEW CONSTRUCTION
1601937,100066684,PERMIT - RENOVATION/ALTERATION
1601968,100066695,PERMIT - NEW CONSTRUCTION
1602092,100066746,PERMIT - RENOVATION/ALTERATION
1602206,100066789,PERMIT - EASY PERMIT PROCESS
1611518,100071339,PERMIT - ELEVATOR EQUIPMENT
1602219,100066792,PERMIT - NEW CONSTRUCTION
1602293,100066812,PERMIT - RENOVATION/ALTERATION
1602389,100066844,PERMIT - RENOVATION/ALTERATION
1602472,100066867,PERMIT - RENOVATION/ALTERATION
1602625,100066948,PERMIT - RENOVATION/ALTERATION
1602719,100066992,PERMIT - RENOVATION/ALTERATION
1602914,10006.7077,PERMIT - NEW CONSTRUCTION
1603040,100067147,PERMIT - NEW CONSTRUCTION
1668853,100106083,PERMIT - ELECTRIC WIRING
1603041,100067148,PERMIT - NEW CONSTRUCTION
1603042,100067149,PERMIT - NEW CONSTRUCTION
1603043,100067150,PERMIT - NEW CONSTRUCTION
1603154,100067208,PERMIT - RENOVATION/ALTERATION
1603233,100067233,PERMIT - RENOVATION/ALTERATION
1603268,100067245,PERMIT - RENOVATION/ALTERATION
1603348,100067278,PERMIT - RENOVATION/ALTERATION
1604134,100067627,PERMIT - RENOVATION/ALTERATION
1603383,100067288,PERMIT - NEW CONSTRUCTION
1603437,100067307,PERMIT - NEW CONSTRUCTION
1603493,100067324,PERMIT - RENOVATION/ALTERATION
1603517,100067331,PERMIT - RENOVATION/ALTERATION
1603628,100067376,PERMIT - EASY PERMIT PROCESS
1603638,100067380,PERMIT - NEW CONSTRUCTION
1603641,100067382,PERMIT - NEW CONSTRUCTION
1604137,100067629,PERMIT - RENOVATION/ALTERATION
1603700,100067408,PERMIT - RENOVATION/ALTERATION
1603703,100067411,PERMIT - NEW CONSTRUCTION
1603773,100067440,PERMIT - NEW CONSTRUCTION
1603852,100067484,PERMIT - NEW CONSTRUCTION
1603872,100067498,PERMIT - RENOVATION/ALTERATION
1603898,100067513,PERMIT - RENOVATION/ALTERATION
1604049,100067567,PERMIT - RENOVATION/ALTERATION
1604164,100067638,PERMIT - NEW CONSTRUCTION
1604308,100067691,PERMIT - NEW CONSTRUCTION
1604334,100067701,PERMIT - NEW CONSTRUCTION
1604345,100067707,PERMIT - RENOVATION/ALTERATION
1604355,100067712,PERMIT - RENOVATION/ALTERATION
1604411,100067733,PERMIT - RENOVATION/ALTERATION
1604422,100067741,PERMIT - NEW CONSTRUCTION
1609145,100070083,PERMIT - RENOVATION/ALTERATION
1604699,100067851,PERMIT - RENOVATION/ALTERATION
1604716,100067856,PERMIT - NEW CONSTRUCTION
1604735,100067863,PERMIT - RENOVATION/ALTERATION
1604767,100067884,PERMIT - NEW CONSTRUCTION
1604826,100067910,PERMIT - NEW CONSTRUCTION
